Korealati,,1851,1359411,0
Mirades,,1733,1339421,1
Guitarwolf,,1304,1339417,3
Undead,,1927,1339416,2
Vinazigart,,1718,1339415,1
Sugar,,1761,1339401,3
Chinazocm,,1818,1329474,0
Chinadark,,1858,1329425,0
Koreasano,,1821,1319481,0
Chinagandi,,1463,1319438,0
Koreamrkim,,1733,1319437,0
Meraxes,,1346,1289592,0
Koreacolor,,1405,1289584,0
Arion,,1461,1289571,1
Zake,,1854,1289565,3
Outcast,,1308,1289543,0
Craghack,,1545,1289522,1
Apollo,,1476,1289499,1
Korealove,,1780,1289481,1
Chinamax,,1788,1289480,0
Russ,,1509,1289473,2
Chinafly,,1621,1289470,1
Vietnamlol,,1829,1289439,2
Erikres,,1430,1279482,1
Koreaclown,,1164,1279448,3
Tgmken,,1650,1279423,0
Aragorn,,1078,1279413,2
Juggs,,1173,1279406,1
Chinayong,,1377,1269464,1
Ivanvodka,,1160,1269432,4
Adrian,,1417,1269403,5
Chinabanye,,1716,1259647,0
Chinabanye,,1466,1259465,0
Rubaka,,1536,1239560,4
Mimi,,1249,1239548,1
Ivanvodka,,1500,1239547,0
Trouble,,1128,1239537,0
Bunny,,1223,1239527,1
Alaric,,1005,1239524,2
Chinatim,,1444,1239505,1
Koreatrima,,1218,1239496,2
Edris,,1213,1239492,3
Hyperize,,1358,1239482,3
Kbot,,1342,1239468,1
Koreashong,,1104,1239465,1
Modrok,,932,1239458,1
Pereg,,1188,1239456,3
Ruianvodka,,1333,1239454,1
Dorkus,,1420,1239438,0
Deks,,1273,1239428,6
Dyomiha,,1278,1239423,6
Furiosa,,1206,1239420,0
Koreax,,1581,1239414,2
Koreasnow,,1145,1229563,1
Shilien,,1141,1229442,0
Eril,,955,1219605,1
Spyclown,,1081,1219508,1
Zuriel,,1163,1219482,2
Obrok,,807,1219458,1
Denf,,1541,1209598,2
Koreabank,,1394,1209569,2
Brienne,,1168,1209537,1
Illari,,865,1199434,1
Joel,,1202,1199425,1
Amlach,,814,1189612,0
Mahara,,881,1189583,0
Rudeeman,,1208,1189546,1
Perspillu,,1121,1189537,0
Vesper,,836,1189532,0
Rucucuruza,,1032,1189528,0
Haduk,,808,1189517,2
Chimaera,,1149,1189515,4
Rogana,,1276,1189514,1
Baja,,1292,1189512,0
Ahorgys,,741,1189503,3
Koreajar,,1101,1189502,5
Argent,,1196,1189495,1
Spike,,1218,1189484,3
Brylie,,543,1189478,1
Duang,,1261,1189469,3
Ivanvodka,,1159,1189466,1
Shewolf,,1181,1189465,5
Andrzej,,1217,1189447,0
Chinaxin,,1457,1189446,0
Jine,,965,1189431,3
Koreazorba,,1413,1189419,7
Smeegalot,,1237,1189415,2
Dubra,,873,1189408,4
Chinatian,,1329,1179607,2
Hippofart,,1175,1179604,0
Chinaz,,1248,1179553,4
Walrus,,964,1179547,4
Koreablue,,1528,1179538,0
Savageroar,,1024,1179537,0
Ertuve,,886,1179528,0
Ruben,,1357,1179517,1
Koreacool,,1065,1179458,2
Ahem,,1096,1179444,3
Ejon,,968,1179421,1
Kyelasse,,1235,1169634,0
Kangmingki,,774,1169591,1
Koreahong,,986,1169458,2
Ebod,,1120,1159662,0
Batot,,1121,1159635,0
Jusuz,,632,1159538,0
Eroze,,826,1159512,1
Korperk,,1191,1159483,1
Boncuk,,1221,1159474,2
Korearege,,1254,1159474,3
Tirzushi,,652,1159440,1
Zede,,1126,1139657,1
Sasi,,1033,1139614,1
Omen,,872,1139591,3
Baoyi,,1269,1139585,4
Shaygartoo,,1017,1139585,1
Chinasw,,1348,1139585,3
Junebug,,654,1139580,3
Kugi,,588,1139574,0
Kyler,,753,1139559,1
Diablo,,716,1139559,0
Korearyu,,682,1139552,0
Hero,,659,1139546,1
Nobody,,923,1139545,2
Alex,,898,1139539,2
Windigo,,1120,1139539,1
Rudron,,906,1139534,2
Zugra,,853,1139527,5
Gagot,,977,1139526,2
Caramon,,899,1139526,2
Candysoda,,973,1139523,1
Hushuzi,,1183,1139518,1
Rirka,,1262,1139514,3
Ivanvodka,,1148,1139513,3
Zicag,,746,1139513,1
Ennive,,1150,1139503,1
Etyone,,757,1139491,1
Arwen,,685,1139485,4
Wifi,,963,1139484,1
Frapo,,698,1139481,0
Ezog,,870,1139479,1
Kirgudur,,798,1139479,2
Rumakc,,920,1139478,1
Nini,,670,1139474,2
Odishun,,1151,1139473,4
Ruvodne,,832,1139468,2
Koukeko,,504,1139456,1
Sekrog,,524,1139453,2
Cromulia,,816,1139452,4
Akred,,1080,1139451,2
Korealino,,844,1139441,1
Nilss,,600,1139431,3
Rumena,,1077,1139425,3
Binary,,689,1139400,1
Koreajias,,908,1129576,2
Dypb,,1141,1129514,1
